id,year,month,day,hour,minute,second,locationName,latitude,longitude,eqDepth,eqMagnitude,damageAmountOrder,eqMagMb,publish,damageAmountOrderTotal,housesDamagedTotal,housesDamagedAmountOrderTotal,country,regionCode,injuries,injuriesAmountOrder,housesDestroyed,housesDestroyedAmountOrder,housesDamaged,housesDamagedAmountOrder,eqMagMw,eqMagMs,injuriesTotal,injuriesAmountOrderTotal,housesDestroyedTotal,housesDestroyedAmountOrderTotal,deaths,deathsAmountOrder,damageMillionsDollars,eqMagMl,deathsTotal,deathsAmountOrderTotal,damageMillionsDollarsTotal,tsunamiEventId,intensity,volcanoEventId,area,missing,missingAmountOrder,missingTotal,missingAmountOrderTotal,time
5608,2001,9,9,23,59,18.0,CALIFORNIA:  LOS ANGELES,34.059,-118.387,5.0,4.2,1.0,4.2,True,1.0,,,USA,150,,,,,,,,,,,,,,,,,,,,,6.0,,CA,,,,,2001-09-09 00:00:00+00:00
5609,2001,10,12,15,2,16.8,GUAM,12.686,144.98,37.0,7.0,2.0,6.7,True,2.0,,,USA TERRITORY,170,1.0,1.0,,3.0,,,7.0,7.3,1.0,1.0,,3.0,,,,,,,,,8.0,,GU,,,,,2001-10-12 00:00:00+00:00
5610,2001,10,19,3,28,44.4,INDONESIA:  BANDA SEA,-4.102,123.907,33.0,7.5,,6.3,True,,,,INDONESIA,170,,,,,,,7.5,7.3,,,,,,,,,,,,,,,,,,,,2001-10-19 00:00:00+00:00
5611,2001,10,27,5,35,39.7,CHINA:  YUNNAN PROVINCE:  YONGSHENG,26.316,100.648,10.0,5.6,2.0,5.3,True,2.0,,,CHINA,30,220.0,3.0,3400.0,4.0,3400.0,4.0,5.6,5.5,220.0,3.0,3400.0,4.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,2001-10-27 00:00:00+00:00
5612,2001,11,14,9,26,10.0,CHINA:  QINGHAI PROVINCE:  XIDATAN,35.946,90.541,10.0,7.8,1.0,6.1,True,1.0,,,CHINA,40,,,,2.0,,2.0,7.8,8.0,,,,2.0,,,,,,,,,,,,,,,,2001-11-14 00:00:00+00:00
5613,2001,12,19,7,54,7.9,BANGLADESH:  DHAKA,23.632,90.376,10.0,4.5,1.0,4.5,True,1.0,,2.0,BANGLADESH,60,100.0,2.0,,,,2.0,,,100.0,2.0,,,,,,,,,,,6.0,,,,,,,2001-12-19 00:00:00+00:00
5614,2002,1,2,17,22,48.7,"VANUATU ISLANDS:  EFATE, PORT VILA",-17.6,167.856,21.0,7.2,1.0,6.3,True,1.0,,2.0,VANUATU,170,,2.0,,,,2.0,7.2,7.5,,2.0,,,,,,,,,,2397.0,,,,,,,,2002-01-02 00:00:00+00:00
5615,2002,1,9,6,45,57.5,TAJIKISTAN:  ROGHUN,38.673,69.902,33.0,5.3,2.0,5.2,True,2.0,209.0,3.0,TAJIKISTAN,40,50.0,1.0,,,209.0,3.0,5.3,5.2,50.0,1.0,,,3.0,1.0,,,3.0,1.0,,,,,,,,,,2002-01-09 00:00:00+00:00
5616,2002,1,10,11,14,56.9,PAPUA NEW GUINEA:  AITAPE,-3.212,142.427,11.0,6.7,2.0,6.0,True,2.0,,,PAPUA NEW GUINEA,170,,,200.0,3.0,,,6.7,6.6,,,200.0,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,2002-01-10 00:00:00+00:00
5617,2002,1,14,15,36,26.4,"CHILE: NORTHERN: CUYA, HUARA, IQUIQUE, POZO ALMONTE",-19.384,-69.231,33.0,5.6,1.0,5.5,True,1.0,,1.0,CHILE,160,,,,,,1.0,5.6,5.2,,,,,,,,,,,,,,,,,,,,2002-01-14 00:00:00+00:00
5618,2002,1,17,20,1,29.2,RWANDA:  GISENYI,-1.684,29.077,15.0,4.7,2.0,4.7,True,3.0,,,RWANDA,10,,,307.0,,,,,,400.0,3.0,307.0,3.0,,1.0,,,1001.0,2.0,,,,,,,,,,2002-01-17 00:00:00+00:00
5619,2002,1,30,8,42,3.4,"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC",18.194,-95.908,109.0,5.9,1.0,5.6,True,1.0,,2.0,MEXICO,150,,,,,,2.0,5.9,,,,,,,,,,,,,,,,,,,,,2002-01-30 00:00:00+00:00
5620,2002,2,3,7,11,28.4,TURKEY:  AFYON,38.573,31.271,5.0,6.5,2.0,5.7,True,2.0,622.0,3.0,TURKEY,140,318.0,3.0,,,,,6.5,6.4,318.0,3.0,,,44.0,1.0,,,44.0,1.0,,,,,,,,,,2002-02-03 00:00:00+00:00
5621,2002,2,3,20,59,27.6,TAJIKISTAN:  ROGHUN,38.773,69.924,44.0,4.9,1.0,4.9,True,1.0,,2.0,TAJIKISTAN,40,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,2002-02-03 00:00:00+00:00
5622,2002,2,17,13,3,52.7,IRAN:  BAGHAN,28.093,51.755,33.0,5.4,2.0,5.6,True,2.0,,3.0,IRAN,140,30.0,1.0,,,,,5.4,5.0,30.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,2002-02-17 00:00:00+00:00
5623,2002,2,22,19,32,41.7,"MEXICO:  MEXICALI, BAJA CALIFORNIA",32.319,-115.322,7.0,5.5,1.0,5.4,True,1.0,,,MEXICO,150,,,,,,,5.5,5.5,,,,,,,,,,,,,,,,,,,,2002-02-22 00:00:00+00:00
5624,2002,3,3,12,8,19.7,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",36.502,70.482,226.0,7.4,3.0,6.6,True,3.0,400.0,3.0,AFGHANISTAN,40,,2.0,300.0,3.0,300.0,3.0,7.4,,,2.0,300.0,3.0,166.0,3.0,,,166.0,3.0,,,,,,,,,,2002-03-03 00:00:00+00:00
5625,2002,3,5,21,16,9.1,PHILIPPINES:  MINDANAO,6.033,124.249,31.0,7.5,2.0,6.3,True,2.0,800.0,3.0,PHILIPPINES,170,100.0,2.0,,,800.0,3.0,7.5,7.2,100.0,2.0,,,15.0,1.0,1.714,,15.0,1.0,1.714,2394.0,,,,,,,,2002-03-05 00:00:00+00:00
