id,time_ms,longitude,latitude,depth_km,magnitude,mag_type,place,sig,felt,cdi,mmi,alert,tsunami,type,url,time
us7000jkbr,1678931169833,-176.3963,-30.161,10.0,5.2,mb,Kermadec Islands region,416,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkbr,2023-03-16 01:46:09.833000+00:00
us7000jlpu,1678932115856,-176.9936,-29.9592,10.0,4.3,mb,Kermadec Islands region,284,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlpu,2023-03-16 02:01:55.856000+00:00
us7000jlrq,1678933299813,-176.6426,-30.314,10.0,4.2,mb,Kermadec Islands region,271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlrq,2023-03-16 02:21:39.813000+00:00
us7000jlpv,1678934260675,-176.6227,-30.4893,10.0,4.5,mb,Kermadec Islands region,312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlpv,2023-03-16 02:37:40.675000+00:00
us7000jlpw,1678936707369,167.1257,-17.0728,10.0,4.5,mb,"112 km SSW of Lakatoro, Vanuatu",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlpw,2023-03-16 03:18:27.369000+00:00
us7000jlqf,1678939126078,-176.8895,-30.412,10.0,4.4,mb,Kermadec Islands region,298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlqf,2023-03-16 03:58:46.078000+00:00
us7000jlpz,1678939298998,-176.588,-30.5516,10.0,4.4,mb,Kermadec Islands region,298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlpz,2023-03-16 04:01:38.998000+00:00
us7000jlpy,1678939953176,-176.6209,-30.3451,10.0,4.5,mb,Kermadec Islands region,312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlpy,2023-03-16 04:12:33.176000+00:00
us7000jlq0,1678940285410,-176.6089,-30.3012,10.0,4.4,mb,Kermadec Islands region,298,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlq0,2023-03-16 04:18:05.410000+00:00
us7000jkch,1678940485176,120.1231,15.5309,58.019,4.8,mb,"17 km ENE of San Lorenzo, Philippines",377,41.0,5.4,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkch,2023-03-16 04:21:25.176000+00:00
us7000jlq4,1678941395876,142.8417,27.3946,11.878,4.3,mb,"Bonin Islands, Japan region",284,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlq4,2023-03-16 04:36:35.876000+00:00
us7000jlqm,1678941510044,-176.5079,-30.0986,10.0,4.5,mb,Kermadec Islands region,312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlqm,2023-03-16 04:38:30.044000+00:00
us7000jlq3,1678942150921,168.205,-18.447,35.0,4.5,mb,"79 km S of Port-Vila, Vanuatu",312,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlq3,2023-03-16 04:49:10.921000+00:00
us7000jkcu,1678944160581,113.313,-10.5406,10.0,5.2,mww,"249 km S of Kencong, Indonesia",416,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jkcu,2023-03-16 05:22:40.581000+00:00
us7000jlq8,1678944313703,146.2102,19.5161,32.517,4.3,mb,Mariana Islands region,284,0.0,1.0,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlq8,2023-03-16 05:25:13.703000+00:00
us7000jlrs,1678945333684,-67.4476,-24.1351,186.958,4.2,mb,"115 km W of San Antonio de los Cobres, Argentina",271,,,,,0,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jlrs,2023-03-16 05:42:13.684000+00:00
